time old	time	flow (L/s)	raw (NTU)	sed (NTU)	filter 1 (NTU)	filter 2 (NTU)	filter (NTU)	coag (mg/L)	Cl (mg/L)	Temperature
12/1/2015 13:39	42339.57	17	3.12	0.19	0	0	0	9.54	0.99	17
12/2/2015 6:36	42340.28	16	3.8	0.39	0	0	0	11.75		18
12/2/2015 13:30	42340.56	18	3.2	0.38	0	0	0	10.86	0.9	18
12/3/2015 5:00	42341.21	17	3.11	1.33	0.18	0.13	0.155	9.03	0.81	
12/3/2015 13:10	42341.55	16	3.01	0.29	0	0	0	6.47	0.76	18
12/4/2015 12:40	42342.53	15	2.74	0.42	0	0	0	7.89	0.88	18
12/5/2015 13:05	42343.55	15	14	2.88	0.81	0.93	0.87	13.56	0.9	18
12/5/2015 18:00	42343.75	14	6.09	0.82	0.18	0.25	0.215	11.84	0.9	18
12/6/2015 13:20	42344.56	15	5.9	0.62	0.1	0.19	0.145	11.01	0.36	18
12/7/2015 13:30	42345.56	13	4.44	1.32	0.6	0.55	0.575	9.18	1.1	18
12/8/2015 5:30	42346.23	15	5.89	3.78	0.35	0.27	0.31	10.78	1.1	18
12/8/2015 12:00	42346.50	16	5.76	0.9	0.04	0	0.02	11.77	1.08	18
12/8/2015 18:21	42346.76	15	4.96	2.18	0.91	0.36	0.635	12.11	0.9	18
12/9/2015 5:00	42347.21	14	5.96	0.8	0.23	0	0.115	10.38	0.96	18
12/9/2015 12:00	42347.50	15	4.06	0.55	0	0	0	10.74	0.99	18
12/9/2015 18:10	42347.76	15	3.41	1.15	0.14	0.18	0.16	10.03	0.9	18
12/10/2015 5:18	42348.22	15	3.39	0.51	0	0	0	11.26	0.7	18
12/10/2015 13:00	42348.54	15	3.22	0.99	0.28	0.32	0.3	8.92	1.1	18
12/11/2015 13:30	42349.56	17	3.44	0.45	0	0	0	6.93	1.07	18
12/11/2015 18:00	42349.75	16	2.86	1.16	0.29	0.36	0.325	6.27	0.99	18
12/12/2015 5:15	42350.22	19	3.36	0.6	0	0	0	7.18	0.9	18
12/12/2015 13:00	42350.54	18	3.44	0.77	0.1	0.09	0.095	8.38	0.99	18
12/12/2015 23:20	42350.97	18	3.12	0.46	0	0	0	8.46	0.81	18
12/13/2015 11:30	42351.48	18	2.59	0.56	0	0	0	7.94	1.1	18
12/14/2015 23:00	42352.96	18	3.01	0.73	0.1	0.26	0.18	11.06	0.89	20
12/15/2015 13:00	42353.54	18	2.89	0.69	0	0	0	7.14	1	20
12/15/2015 18:20	42353.76	18	3.14	0.59	0.07	0.05	0.06	6.37	0.88	19
12/16/2015 11:00	42354.46	18	2.9	0.72	0.18	0.15	0.165	6.92	1	19
12/16/2015 18:10	42354.76	18	3.31	1.03	0.37	0.41	0.39	1.19	0.95	19
12/17/2015 5:50	42355.24	18	2.77	0.25	0	0	0	0.22	0.89	18
12/17/2015 13:00	42355.54	18	2.9	0.71	0	0	0	9	1.05	19
12/17/2015 18:40	42355.78	18	3.13	0.66	0.2	0.15	0.175	10.27	0.82	19
12/18/2015 0:30	42356.02	18	3.01	0.81	0.12	0.09	0.105	9.18	0.9	19
12/18/2015 13:00	42356.54	18	2.62	0.82	0.11	0.15	0.13	11.16	0.9	19
12/18/2015 17:45	42356.74	18	2.5	0.44	0	0.09	0.045	11.24	0.82	19
12/19/2015 12:40	42357.53	18	3.1	0.4	0	0	0	7.01	0.9	18
12/19/2015 18:45	42357.78	18	4.54	1.76	0.75	0.8	0.775		1.02	18
12/20/2015 5:00	42358.21	18	5.94	1	0.24	0.32	0.28	12.33	0.99	18
12/20/2015 13:20	42358.56	18	3.9	0.91	0.71	0.7	0.705	12.1	0.81	18
12/20/2015 18:00	42358.75	18	2.77	0.1	0	0	0	13.24	0.79	18
12/21/2015 5:00	42359.21	18	2.72	0.75	0	0	0	10.72	0.92	18
12/21/2015 18:50	42359.78	19	3.91	0.39	0.13	0.05	0.09	11.36	0.9	18
12/21/2015 23:25	42359.98	19	3.18	0.36	0	0	0	11.93	0.81	18
12/22/2015 11:40	42360.49	18	2.44	0.94	0.31	0.1	0.205	10.84	1	18
12/23/2015 5:30	42361.23	18	1.96	0.06	0	0	0	12.01		
12/23/2015 13:10	42361.55	18	2.2	0.33	0	0	0	7.87	1	18
12/23/2015 17:40	42361.74	18	2.03	0.96	0.31	0.27	0.29	6.01		18
12/24/2015 5:40	42362.24	18	1.82	0.26	0	0	0	7.59	0.98	18
12/24/2015 13:30	42362.56	18	2.11	0.62	0	0	0	7.54	1	18
12/25/2015 5:50	42363.24	14	3.36	0.29	0	0	0	7.18	0.8	18
12/25/2015 11:30	42363.48	18	2.32	0.66	0	0	0	7.87	0.99	18
12/26/2015 5:50	42364.24	17	3.02	0.68	0	0	0	7.8	0.16	18
12/26/2015 11:45	42364.49	18	2.72	0.5	0	0	0	7.88	1.08	18
12/26/2015 13:00	42364.54	17	2.62	0.44	0	0	0	7.87	1.05	18
12/27/2015 5:50	42365.24	18	1.77	0.02	0	0	0	8.1	0.81	17
12/27/2015 12:30	42365.52	17	1.79	0.77	0	0	0	6.3	1.05	18
12/28/2015 0:50	42366.03	17	2.01	0.27	0	0	0	6.96	0.98	17
12/28/2015 18:30	42366.77	17	2.33	0.5	0	0	0	6.89		18
12/29/2015 11:10	42367.47	17	2.3	0.28	0.01	0.02	0.015	8.22	0.9	18
12/29/2015 13:00	42367.54	17	2.33	0.45	0	0	0	7.61	0.5	18
12/29/2015 18:00	42367.75	17	2.12	0.9	0.31	0.88	0.595	7.94	0	18
12/30/2015 13:00	42368.54	17	2.23	0.76	0.01	0	0.005	9.79	0.62	17
12/30/2015 18:00	42368.75	17	2.12	0.32	0	0	0	9.72	1	
12/31/2015 17:30	42369.73	17	2.67	0.77	0	0	0	10.87	0.39	18
1/1/2016 13:00	42370.54	17	2.1	0.56	0	0	0	9.16	0.78	18
1/2/2016 6:20	42371.26	16	2.15	0.9	0	0	0	11.89	0.9	18
1/2/2016 13:10	42371.55	18	2.39	0.32	0	0	0	7.78	0.89	19
1/2/2016 18:30	42371.77	18	2.55	1.26	0.77	0.84	0.805	6.84		19
1/3/2016 13:10	42372.55	17	2.56	0.63	0.01	0	0.005	7.83	0.85	18
1/3/2016 18:00	42372.75	17	2.28	0.63	0	0	0	7.94	0.72	18
1/3/2016 18:00	42372.75	18	2.18	1	0.32	0.22	0.27	7.84	0.9	19
1/4/2016 6:00	42373.25	17	2.33	0.9	0	0	0	7.94	0.9	18
1/4/2016 11:22	42373.47	15	2.32	0.77	0.32	0.41	0.365	0.78	0.8	18
1/4/2016 18:25	42373.77	16	4.41	0.54	0.1	0.09	0.095	9.25	0.41	18
1/5/2016 5:50	42374.24	16	3.01	0.9	0.2	0.16	0.18	9.25	1.1	17
1/5/2016 11:36	42374.48	15	2.74	0.3	0	0	0	8.24	0.9	18
1/5/2016 18:00	42374.75	18	5.19	0.18	0	0	0	9.1	0.98	18
1/6/2016 13:30	42375.56	18	2.2	0.4	0	0	0	8.78	1.1	18
1/6/2016 18:10	42375.76	20	2.96	0.36	0	0.03	0.015	9.86	0.98	18
1/7/2016 13:10	42376.55	18	2.24	0.66	0	0	0	9.24	1.1	18
1/8/2016 18:00	42377.75	14	2.24	0	0	0	0	5	1.2	18
1/9/2016 13:26	42378.56	14	2.27	0.8	0.17	0.31	0.24	5.4	0.54	19
1/9/2016 18:00	42378.75	13	2.22	0	0	0	0	5.22	0.89	19
1/10/2016 18:30	42379.77	18	2.12	0.44	0	0	0	8.22	1	18
1/11/2016 13:15	42380.55	15	1.85	0.26	0	0	0	9.79	0.61	17
1/11/2016 18:00	42380.75	15	1.71	1.18	0.45	0.72	0.585	10.24	0.84	17
1/12/2016 6:00	42381.25	17	2.14	1.72	0.74	0.87	0.805	12.4		17
1/12/2016 13:13	42381.55	16	1.93	0.5	0	0	0	7.61		17
1/12/2016 18:00	42381.75	15	2.12	0.4	0	0	0	5.12	0.9	17
1/13/2016 23:00	42382.96	16	2.09	0.66	0	0	0	6.84	1.1	18
1/14/2016 6:00	42383.25	17	2.12	0.4	0	0	0	7.16		18
1/14/2016 12:30	42383.52	17	2.46	0.52	0	0	0	7.18	0.9	19
1/14/2016 18:00	42383.75	18	2.1	0.53	0	0	0	8.22		19
1/15/2016 6:00	42384.25	18	2.11	1.2	0.32	0.4	0.36	8.78	1	18
1/15/2016 12:10	42384.51	18	2.24	0.52	0	0	0	9.44	1.1	18
1/15/2016 13:20	42384.56	18	2.24	0.57	0	0	0	9.12	1.2	19
1/15/2016 23:23	42384.97	16	2.33	0.31	0	0	0	7.01	0.9	19
1/16/2016 5:35	42385.23	16	2.21	0.32	0	0	0	6.96	0.87	18
1/16/2016 12:20	42385.51	17	2.13	0.61	0.1	0.09	0.095	7.87	1.1	18
1/16/2016 18:00	42385.75	17	2.36	0.87	0	0	0	10.01	1	19
1/16/2016 23:00	42385.96	9	2.16	0.21	0	0	0	8.03	0.99	19
1/17/2016 15:30	42386.65	17	2.08	0.3	0	0	0	8.78	1	18
1/18/2016 5:39	42387.24	1	2.16	0.51	0.1	0.05	0.075	9.16	0.98	18
1/18/2016 13:20	42387.56	16	2.12	0.39	0	0	0	10.24	1.2	18
1/18/2016 17:40	42387.74	16	2.16	0.63	0	0	0	9.83	0.89	18
1/19/2016 12:00	42388.50	17	2.09	0.68	0.18	0.11	0.145	10.89	1.1	18
1/19/2016 18:50	42388.78	16	2.08	0.58	0	0	0	11.56	0.82	17
1/19/2016 23:30	42388.98	16	1.57	0.52	0	0	0	11.01	0.86	17
1/20/2016 12:30	42389.52	17	2.32	0.9	0.17	0.24	0.205	8.34	1.2	17
1/20/2016 17:00	42389.71	18	2.36	0.9	0.21	0.18	0.195	8.16	1.05	17
1/21/2016 0:20	42390.01	18	3.1	0.51	0	0	0	6.91	1.06	17
1/21/2016 5:50	42390.24	18	2.09	0.36	0	0	0	5.13	0.74	17
1/21/2016 13:00	42390.54	18	2.12	1.1	0.32	0.45	0.385	5.89	1.08	17
1/21/2016 17:00	42390.71	18	1.14	0.9	0.51	0.26	0.385	8.1	0.91	17
1/22/2016 0:15	42391.01	17	2.01	0.51	0	0	0	7.09	0.9	17
1/22/2016 6:45	42391.28	18	2.1	0.57	0	0	0	8.1	0.84	17
1/22/2016 12:30	42391.52	18	2.7	0.89	0.1	0.16	0.13	8.22	1.1	17
1/22/2016 17:00	42391.71	16	2.15	0.55	0	0	0	6.08	0.82	17
1/22/2016 23:40	42391.99	18	2.09	0.62	0	0.6	0.3	6.1	0.9	17
1/23/2016 6:00	42392.25	16	3.1	0.54	0	0	0	7.94	1	17
1/23/2016 13:10	42392.55	14	2.7	0.31	0	0	0	8.14	1.01	16
1/23/2016 17:30	42392.73	14	2.08	0.93	0	0.1	0.05	6.19	0.8	16
1/23/2016 23:00	42392.96	14	2.1	0.84	0.16	0.11	0.135	6.74	1.08	16
1/24/2016 6:00	42393.25	15	2.03	0.86	0.17	0.1	0.135	6.82	1	15
1/24/2016 13:24	42393.56	15	2.02	0.2	0	0	0	7.64	0.79	15
1/24/2016 17:40	42393.74	15	2.06	0.3	0	0	0	7.88	0.72	15
1/24/2016 23:00	42393.96	14	2.05	0.28	0	0	0	7.24	1.1	15
1/25/2016 6:00	42394.25	18	1.8	0.1	0	0	0	7.17	1.05	15
1/25/2016 13:10	42394.55	15	1.86	0.62	0	0	0	6.01	0.91	15
1/25/2016 17:30	42394.73	15	1.82	0.55	0	0	0	6.82	0.84	16
1/25/2016 23:30	42394.98	16	1.82	0.3	0	0	0	6.34	1.18	16
1/26/2016 13:20	42395.56	18	2.38	0.75	0.31	0.25	0.28	6.37	1	16
1/26/2016 17:45	42395.74	16	2.08	0.35	0	0	0	6	0.86	17
1/26/2016 23:40	42395.99	16	2.05	0.3	0	0	0	7.1	1.1	17
1/27/2016 12:00	42396.50	18	1.97	0.68	0		0	7.18	0.85	17
