time	flow (L/s) 	raw (NTU)	sed (NTU)	filter (NTU)	1 - Purga	backwash	coag (mg/L)	Cl (mg/L)
8/31/2018 8:00	5	3.26	0.01	0.01			5.86	1.57
8/31/2018 9:00	5	2.89	0.01	0.01			5.86	1.61
8/31/2018 10:00	5	2.66	0.01	0.01			5.86	1.61
8/31/2018 11:00	5	2.8	0.01	0.01	12:00 PM		5.86	1.61
8/31/2018 12:00	5	2.64	0.27	0.01			5.86	1.53
8/31/2018 13:00	5	2.48	0.01	0.01			5.86	1.53
8/31/2018 14:00	5	3.03	0.01	0.01			5.86	1.53
8/31/2018 15:00	5	3.85	0.01	0.01			5.86	1.53
8/31/2018 16:00	5	2.77	0.01	0.01			5.86	1.53
8/31/2018 19:00	5	2.48	0.01	0.01	7:00 PM		5.86	1.53
8/31/2018 20:00	5	2.7	0.18	0.01			5.86	1.53
8/31/2018 21:00	5	2.09	0.04	0.01			5.86	1.53
8/31/2018 22:00	5	2.38	0.01	0.01			5.86	1.53
9/2/2018 0:00	5	2.58	0.33	0.01	12:00 AM		5.86	1.53
9/1/2018 2:00	5	3.72	0.01	0.01			5.86	1.53
9/1/2018 4:00	5	4.82	0.01	0.01			5.86	1.57
9/1/2018 6:00	5	2.22	0.01	0.01			5.86	1.57
9/1/2018 7:00	5	3.16	0.01	0.01			5.86	1.53
9/1/2018 8:00	5	3.6	0.01	0.01	8:00 AM		5.86	1.53
9/1/2018 9:00	5	4.7	0.02	0.01			5.86	1.49
9/1/2018 10:00	5	3.72	0.08	0.01			5.86	1.49
9/1/2018 11:00	5	3.74	0.19	0.01			5.86	1.49
9/1/2018 12:00	5	3.23	0.05	0.01	12:00 PM		5.86	1.53
9/1/2018 13:30	5	3.14	0.01	0.01			5.86	1.53
9/1/2018 15:00	5	5.25	0.27	0.01			5.86	1.53
9/1/2018 16:00	5	3.13	0.01	0.01			5.86	1.53
9/1/2018 17:00	5	2.45	0.23	0.01		4:36 PM	5.86	1.53
9/1/2018 18:30	5	3.35	0.03	0.01	7:00 PM		5.86	1.53
9/1/2018 20:00	5	4.39	0.2	0.01			5.86	1.49
9/1/2018 21:00	5	4.43	0.14	0.01			5.86	1.53
9/1/2018 22:00	5	4.35	0.29	0.01			5.86	1.53
9/2/2018 0:00	5	5.39	0.26	0.01	12:00 AM		5.86	1.53
9/2/2018 2:00	5	4.07	0.01	0.01			5.86	1.53
9/2/2018 4:00	5	4.9	0.01	0.01			5.86	1.49
9/2/2018 6:00	5	4.93	0.01	0.01	6:00 AM		5.86	1.53
9/2/2018 7:00	3	4.13	0.01	0.01			6.11	1.54
9/2/2018 8:00	3	2.72	0.01	0.01			6.11	1.54
9/2/2018 9:00	3	2.34	0.01	0.01	9:00 AM		6.11	1.54
9/2/2018 10:00	3	2.76	0.06	0.01			6.11	1.54
9/2/2018 11:00	3	2.43	0.01	0.01			6.11	1.54
9/2/2018 12:00	5	2.69	0.06	0.01			5.86	1.57
9/2/2018 13:30	5	2.62	0.04	0.01	1:30 PM		5.86	1.57
9/2/2018 14:00	5	3.06	0.04	0.01			5.86	1.57
9/2/2018 15:00	5	2.63	0.2	0.01			5.86	1.61
9/2/2018 16:00	5	2.8	0.19	0.01			5.86	1.61
9/2/2018 17:00	5	2.14	0.01	0.01	5:00 PM		5.86	1.61
9/2/2018 18:00	5	2.21	0.24	0.01			5.86	1.61
9/2/2018 19:30	5	22.3	0.01	0.01			13.2	1.61
9/2/2018 20:00	5	19.6	0.01	0.01			13.2	1.61
9/2/2018 21:00	5	13.4	0.03	0.01			13.2	1.61
9/2/2018 22:00	5	43.3	0.34	0.01			17.6	1.61
9/2/2018 23:00	5	50.3	0.2	0.01	11:00 PM		18.7	1.61
9/4/2018 0:00	5	35.8	0.74	0.01		12:20 AM	18.7	1.61
9/3/2018 2:00	5	20.4	0.25	0.01			10.26	1.61
9/3/2018 4:20	5	12.5	0.26	0.01	4:20 AM		10.26	1.61
9/3/2018 6:00	5	8	0.33	0.01			10.26	1.61
9/3/2018 7:00	5	6.34	0.04	0.01			10.26	1.61
9/3/2018 8:00	5	5.57	0.09	0.01			10.26	1.61
9/3/2018 9:00	5	5.27	0.13	0.01			10.26	1.61
9/3/2018 10:00	5	6.33	0.07	0.01			10.26	1.61
9/3/2018 11:00	5	4.66	0.01	0.01			10.26	1.61
9/3/2018 12:00	5	4.36	0.08	0.01	12:00 PM		10.26	1.61
9/3/2018 14:00	5	4.14	0.37	0.01			10.26	1.61
9/3/2018 15:00	5	4.04	0.01	0.01			10.26	1.61
9/3/2018 16:00	5	4.15	0.01	0.01			10.26	1.61
9/3/2018 17:00	5	3.98	0.01	0.01			9.53	1.61
9/3/2018 18:00	5	3.58	0.01	0.01	6:00 PM		9.53	1.61
9/3/2018 19:00	5	3.8	0.11	0.01			9.53	1.61
9/3/2018 20:00	5	3.58	0.03	0.01			9.53	1.61
9/3/2018 21:00	5	3.58	0.07	0.01			9.53	1.61
9/3/2018 22:00	5	3.8	0.07	0.01			9.53	1.61
9/5/2018 0:00	5	3.26	0.11	0.01			9.53	1.61
9/4/2018 2:00	5	2.9	0.01	0.01			9.53	1.61
9/4/2018 4:00	5	5.44	0.01	0.01		4:06 AM	9.53	1.61
9/4/2018 6:00	3	4.8	0.32	0.01			7.33	1.54
9/4/2018 7:00	3	3.29	0.01	0.01	7:00 AM		7.33	1.54
