time format	time	flow (L/s)	raw (NTU)	sed (NTU)	filter (NTU)
11/27/15 10:25	42335.43	11.50	16.000	1.5	0.5
11/27/15 10:27	42335.44	11.50	16.000	1.5	0.5
11/27/15 18:05	42335.75	12.03	15.570	1.78	0.07
11/28/15 6:09	42336.26	12.03	15.540	1.01	0.31
11/28/15 17:51	42336.74	12.03	14.280	0.89	0.06
11/29/15 6:03	42337.25	12.03	14.110	0.61	0.01
11/29/15 18:09	42337.76	12.03	14.170	0.76	0.32
11/30/15 6:00	42338.25	12.03	13.920	1.15	0.37
11/30/15 18:03	42338.75	12.03	14.110	1.15	0.07
12/1/15 6:18	42339.26	12.03	14.020	1.61	0.65
12/1/15 17:57	42339.75	12.03	13.780	1.29	0.18
12/2/15 6:04	42340.25	12.03	12.670	1.47	0.16
12/2/15 18:09	42340.76	12.03	13.330	1.42	0.48
12/3/15 6:06	42341.25	12.03	12.680	1.23	0.26
12/3/15 18:05	42341.75	12.03	27.860	1.84	0.15
12/4/15 6:04	42342.25	12.03	13.740	0.49	0.21
12/4/15 17:57	42342.75	12.03	13.380	1.39	0.52
12/5/15 6:04	42343.25	12.03	14.600	0.64	0.04
12/5/15 18:06	42343.75	12.03	12.400	0.67	0.01
12/6/15 6:05	42344.25	12.03	11.680	0.51	0.12
12/6/15 18:20	42344.76	12.03	12.260	1.23	0.35
12/7/15 6:06	42345.25	12.03	10.830	0.86	0.5
12/7/15 18:40	42345.78	12.03	11.360	0.47	0.06
12/8/15 6:06	42346.25	12.03	10.170	0.77	0.54
12/8/15 18:11	42346.76	12.03	9.890	0.94	0.22
12/9/15 6:12	42347.26	12.03	9.970	0.46	0.14
12/9/15 18:01	42347.75	12.03	10.630	0.54	0.29
12/10/15 6:05	42348.25	12.03	10.090	0.36	0.26
12/10/15 6:06	42348.25	12.03	10.090	0.36	0.26
12/10/15 17:55	42348.75	12.03	9.850	0.53	0
12/11/15 6:06	42349.25	12.03	9.660	0.74	0.33
12/11/15 18:02	42349.75	12.03	10.000	0.75	0.29
12/12/15 17:57	42350.75	12.03	9.630	0.94	0.01
12/13/15 6:04	42351.25	12.03	8.240	0.6	0.23
12/13/15 18:28	42351.77	12.03	8.170	0.37	0
12/14/15 6:02	42352.25	12.03	8.190	0.63	0.47
12/14/15 18:05	42352.75	12.03	8.610	0.92	0
12/15/15 6:04	42353.25	12.03	7.710	0.94	0.02
12/15/15 19:07	42353.80	12.03	8.450	1.91	0.6
12/16/15 18:37	42354.78	12.03	8.860	0.42	0.13
12/17/15 6:23	42355.27	11.30	8.080	1.15	0.5
12/17/15 18:09	42355.76	11.16	7.420	0.97	0.44
12/18/15 6:00	42356.25	11.16	7.370	0.99	0
12/18/15 18:04	42356.75	11.30	7.940	1.17	0.32
12/19/15 6:08	42357.26	11.16	6.770	1.21	0.16
12/19/15 17:56	42357.75	11.16	6.380	0.63	0
12/20/15 6:18	42358.26	11.30	6.850	0.92	0.25
12/20/15 17:55	42358.75	11.16	8.850	0.92	0.36
12/21/15 5:56	42359.25	11.16	8.060	1.12	0.29
12/21/15 18:01	42359.75	11.30	6.290	1.49	0.55
12/22/15 6:35	42360.27	6.70	6.120	1.37	0.37
12/23/15 6:02	42361.25	11.30	6.240	0.73	0
12/24/15 6:01	42362.25	11.16	6.120	0.27	0
12/24/15 18:04	42362.75	11.30	6.500	1.03	0.3
12/25/15 7:06	42363.30	670.00	6.370	0.81	0.18
12/25/15 17:56	42363.75	10.83	5.480	1.01	0.07
12/26/15 6:06	42364.25	11.30	5.270	0	0
12/27/15 17:58	42365.75	11.30	5.190	1.24	0.17
12/28/15 8:13	42366.34	670.00	4.350	0.01	0
12/28/15 17:58	42366.75	10.83	4.480	0.21	0
12/29/15 5:56	42367.25	11.30	4.600	0.44	0.15
12/29/15 18:26	42367.77	670.00	4.780	1.42	0.7
12/30/15 6:01	42368.25	10.83	4.640	0.11	0
12/30/15 18:16	42368.76	10.06	4.740	0.76	0
12/31/15 6:25	42369.27	10.67	3.820	0.17	0
12/31/15 18:00	42369.75	10.66	4.290	0.19	0.01
1/1/16 6:20	42370.26	10.06	3.880	0.32	0.13
1/1/16 18:50	42370.79	640.00	5.040	0.74	0
1/2/16 5:54	42371.25	10.66	5.200	0.42	0.03
1/2/16 17:52	42371.74	10.06	4.020	0.059	0.01
1/4/16 6:04	42373.25	10.83	3.310	0.4	0
1/5/16 18:53	42374.79	11.90	4.190	0.8	0
1/6/16 12:21	42375.51	10.06	4.740	0.76	0
1/7/16 6:05	42376.25	11.83	3.060	0.32	0
1/8/16 5:59	42377.25	11.83	2.570	0.56	0.02
1/9/16 18:02	42378.75	11.83	2.630	0.12	0.06
