timeold	time	operator	flow (L/s) 	raw (NTU)	sed (NTU)	filter1 (NTU)	filter2 (NTU)	filter (NTU)	Cuagulante	coag (mg/L)	Cloro	Cl (mg/L)	backwash1	backwash2	Observaciones	
5/29/2018 1:00	43249.04	Sergio Torrez	7	13	2.9			#DIV/0!	111.11	12			txt	txt	txt	
5/29/2018 2:00	43249.08	Sergio Torrez	7	10.3	1.8			#DIV/0!	111.11	11.11						
5/29/2018 3:00	43249.13	Sergio Torrez	7	9.2	1.58			#DIV/0!	111.11	11.11						
5/29/2018 4:00	43249.17	Sergio Torrez	7	8.4	1.4			#DIV/0!	111.11	11.11						
5/29/2018 5:00	43249.21	Sergio Torrez	7	8.4	1.2			#DIV/0!	111.11	11.11						
5/29/2018 6:00	43249.25	Sergio Torrez	7	7.6	3.1			#DIV/0!	111.11	11.11						
5/30/2018 7:00	43250.29	Israel Garcia	7					#DIV/0!	111.11	9.1						
5/30/2018 8:00	43250.33	Israel Garcia	7					#DIV/0!	111.11	9.5						
5/30/2018 9:00	43250.38	Israel Garcia	7					#DIV/0!	111.11	8.99						
5/30/2018 10:00	43250.42	Israel Garcia	7					#DIV/0!	111.11	8.46						
5/30/2018 11:00	43250.46	Israel Garcia	7					#DIV/0!	111.11	8.47						
5/30/2018 12:00	43250.50	Israel Garcia	7					#DIV/0!	111.11	12.16						
5/30/2018 13:00	43250.54	Israel Garcia	7					#DIV/0!	111.11	12.5	5.6					
5/30/2018 14:00	43250.58	Israel Garcia	7					#DIV/0!	111.11	11.11	5.6	0.34				
5/30/2018 14:40	43250.61	Israel Garcia	 -   					#DIV/0!								
5/30/2018 18:00	43250.75	Leonel Herrera	 -   					#DIV/0!							PLANTA FUERA DE FUNCIONAMIENTO	
5/31/2018 6:00	43251.25	Jobani Perez	1.4	16				#DIV/0!	111.11							
5/31/2018 7:00	43251.29	Jobani Perez	7	4.8				#DIV/0!	111.11							
5/31/2018 8:00	43251.33	Jobani Perez	7	14				#DIV/0!	111.11	12.9	5.6					
5/31/2018 9:00	43251.38	Jobani Perez	7	10	8.6			#DIV/0!	111.11	10.05	5.6	0.26				
5/31/2018 10:00	43251.42	Jobani Perez	7	11	4			#DIV/0!	111.11	9.5	5.6	0.26				
5/31/2018 11:00	43251.46	Jobani Perez	7	14	8.2			#DIV/0!	111.11	10	5.6	0.26				
5/31/2018 12:00	43251.50	Jobani Perez	7	12	6.1			#DIV/0!	111.11	14.8	5.6	0.26				
5/31/2018 13:00	43251.54	Jobani Perez	7	11	3.7			#DIV/0!	111.11	14.2	5.6	0.26				
5/31/2018 14:00	43251.58	Jobani Perez	7	7.5	3.6			#DIV/0!	111.11	14.2	5.6	0.26				
5/31/2018 15:00	43251.63	Jobani Perez	7	7.4	3.8			#DIV/0!	111.11	12.2	5.6	0.26				
5/31/2018 16:00	43251.67	Jobani Perez	7	7.2	6.5			#DIV/0!	111.11	13	5.6	0.26				
5/31/2018 17:00	43251.71	Jobani Perez	7	6.3	5.2			#DIV/0!	111.11	7.93	5.6	0.26				
5/31/2018 18:00	43251.75	Jobani Perez	7	7.7	6.3			#DIV/0!	111.11	7.93	5.6	0.05				
5/31/2018 19:00	43251.79	Israel Garcia	7	6.6	6.1			#DIV/0!	111.11	9	5.6	0.08				
5/31/2018 20:00	43251.83	Israel Garcia	7	5.7	5.5			#DIV/0!	111.11	10.5	5.6	0.1				
5/31/2018 21:00	43251.88	Israel Garcia	7	6	3.2			#DIV/0!	111.11	10	5.6	0.09				
5/31/2018 23:00	43251.96	Israel Garcia	7	5.4	5.1			#DIV/0!	111.11	10.5	5.6	0.09				
6/1/2018 0:00	43252.00	Israel Garcia	7	5.3	4.8			#DIV/0!	111.11	10.05	5.6	0.09				
6/1/2018 2:00	43252.08	Israel Garcia	7	5.5	4.4			#DIV/0!	111.11	10.06	5.6	0.1				
6/1/2018 4:00	43252.17	Israel Garcia	7	5.4	3.7			#DIV/0!	111.11	12.2	5.6	0.08				
6/1/2018 5:00	43252.21	Israel Garcia	7	6.7	3.7			#DIV/0!	111.11	11.05	5.6	0.1				
6/1/2018 6:00	43252.25	Israel Garcia	7	5.4	4.5			#DIV/0!	111.11	1.05	5.6	0.1				
6/1/2018 7:00	43252.29	Sergio Torrez	7	4.7	4.1			#DIV/0!	111.11	8.99	5.6	0.05				
6/1/2018 8:00	43252.33	Sergio Torrez	7	4.8	3.5			#DIV/0!	111.11	10.05	5.6	0.08				
6/1/2018 9:00	43252.38	Sergio Torrez	7	5.2	4.3			#DIV/0!	111.11	9.05	5.6	0.08			SE        PARA        EL      PROCESO      DE       LA       PLANTA       POR      LIMPIEZA       	
6/1/2018 11:00	43252.46	Sergio Torrez	7	5	4.8			#DIV/0!	111.11	12.6	5.6	0.53				
6/1/2018 12:00	43252.50	Sergio Torrez	7	4.6	4.4			#DIV/0!	111.11	11.6	5.6	0.32				
6/1/2018 13:00	43252.54	Sergio Torrez	7	4.7	4			#DIV/0!	111.11	10.5	5.6	0.26				
6/1/2018 14:00	43252.58	Sergio Torrez	7	4.5	3.6			#DIV/0!	111.11	10.8	5.6	0.27				
6/1/2018 15:00	43252.63	Sergio Torrez	7	4.5	3.5			#DIV/0!	111.11	10.5	5.6	0.45				
6/1/2018 16:00	43252.67	Sergio Torrez	7	4.5	3.1			#DIV/0!	111.11	10	5.6	0.18				
6/1/2018 17:00	43252.71	Sergio Torrez	7	4.8	3.2			#DIV/0!	111.11	10.5	5.6	0.19				
6/1/2018 18:00	43252.75	Sergio Torrez	7	4.8	3.4			#DIV/0!	111.11	10.8	5.6	0.13				
6/1/2018 19:00	43252.79	Jobani Perez	7	4.4	3.2			#DIV/0!	111.11	10.13	5.6	0.12				
6/1/2018 20:00	43252.83	Jobani Perez	7	4.8	3.6			#DIV/0!	111.11	9.53	5.6	0.09				
6/1/2018 21:00	43252.88	Jobani Perez	7	4.2	3.3			#DIV/0!	111.11	10.05	5.6	0.5				
